매장_id,품목_id,기간,창고_재고량
ST_102,IT_101,2023.12.01,5000
ST_102,IT_101,2023.12.02,5000
ST_102,IT_101,2023.12.03,5000
ST_102,IT_101,2023.12.04,5000
ST_102,IT_101,2023.12.05,5000
ST_102,IT_101,2023.12.06,5000
ST_102,IT_101,2023.12.07,5000
ST_102,IT_101,2023.12.08,5000
ST_102,IT_101,2023.12.09,5000
ST_102,IT_101,2023.12.10,5000
ST_102,IT_101,2023.12.11,5000
ST_102,IT_101,2023.12.12,5000
ST_102,IT_101,2023.12.13,5000
ST_102,IT_101,2023.12.14,5000
ST_102,IT_101,2023.12.15,5000
ST_102,IT_101,2023.12.16,5000
ST_102,IT_101,2023.12.17,5000
ST_102,IT_101,2023.12.18,5000
ST_102,IT_101,2023.12.19,5000
ST_102,IT_101,2023.12.20,5000
ST_102,IT_101,2023.12.21,5000
ST_102,IT_101,2023.12.22,5000
ST_102,IT_101,2023.12.23,5000
ST_102,IT_101,2023.12.24,5000
ST_102,IT_101,2023.12.25,5000
ST_102,IT_101,2023.12.26,5000
ST_102,IT_101,2023.12.27,5000
ST_102,IT_101,2023.12.28,5000
ST_102,IT_101,2023.12.29,5000
ST_102,IT_101,2023.12.30,5000
ST_102,IT_101,2023.12.31,5000
ST_102,IT_102,2023.12.01,3000
ST_102,IT_102,2023.12.02,3000
ST_102,IT_102,2023.12.03,3000
ST_102,IT_102,2023.12.04,3000
ST_102,IT_102,2023.12.05,3000
ST_102,IT_102,2023.12.06,3000
ST_102,IT_102,2023.12.07,3000
ST_102,IT_102,2023.12.08,3000
ST_102,IT_102,2023.12.09,3000
ST_102,IT_102,2023.12.10,3000
ST_102,IT_102,2023.12.11,3000
ST_102,IT_102,2023.12.12,3000
ST_102,IT_102,2023.12.13,3000
ST_102,IT_102,2023.12.14,3000
ST_102,IT_102,2023.12.15,3000
ST_102,IT_102,2023.12.16,3000
ST_102,IT_102,2023.12.17,3000
ST_102,IT_102,2023.12.18,3000
ST_102,IT_102,2023.12.19,3000
ST_102,IT_102,2023.12.20,3000
ST_102,IT_102,2023.12.21,3000
ST_102,IT_102,2023.12.22,3000
ST_102,IT_102,2023.12.23,3000
ST_102,IT_102,2023.12.24,3000
ST_102,IT_102,2023.12.25,3000
ST_102,IT_102,2023.12.26,3000
ST_102,IT_102,2023.12.27,3000
ST_102,IT_102,2023.12.28,3000
ST_102,IT_102,2023.12.29,3000
ST_102,IT_102,2023.12.30,3000
ST_102,IT_102,2023.12.31,3000
ST_102,IT_103,2023.12.01,3000
ST_102,IT_103,2023.12.02,3000
ST_102,IT_103,2023.12.03,3000
ST_102,IT_103,2023.12.04,3000
ST_102,IT_103,2023.12.05,3000
ST_102,IT_103,2023.12.06,3000
ST_102,IT_103,2023.12.07,3000
ST_102,IT_103,2023.12.08,3000
ST_102,IT_103,2023.12.09,3000
ST_102,IT_103,2023.12.10,3000
ST_102,IT_103,2023.12.11,3000
